Date,Day,Month Name,Quarter,Year,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,Month No,Stock Name
23-12-2024,Monday,December,Q4,2024,EQ,1215,1227.2,1213.2,1205.3,1223.85,1222.3,1219.77,3217.6,1201.5,10052824,12262091651,258756,12,Reliance
20-12-2024,Friday,December,Q4,2024,EQ,1224,1239.5,1201.5,1230.45,1206,1205.3,1215.95,3217.6,1201.5,20312896,24699497248,499900,12,Reliance
19-12-2024,Thursday,December,Q4,2024,EQ,1239,1244.9,1229,1253.25,1230.5,1230.45,1235.73,3217.6,1217.25,14244653,17602540036,503893,12,Reliance
18-12-2024,Wednesday,December,Q4,2024,EQ,1240.65,1259.95,1240.65,1245.3,1254.35,1253.25,1252.58,3217.6,1217.25,12670179,15870398087,266155,12,Reliance
17-12-2024,Tuesday,December,Q4,2024,EQ,1261.05,1263.9,1242.8,1268.3,1244.7,1245.3,1249.22,3217.6,1217.25,17462791,21814794517,481698,12,Reliance
16-12-2024,Monday,December,Q4,2024,EQ,1275,1281,1266.55,1272.85,1268.4,1268.3,1271.94,3217.6,1217.25,9486781,12066629924,224571,12,Reliance
13-12-2024,Friday,December,Q4,2024,EQ,1260,1275.2,1239.6,1262.9,1274.45,1272.85,1257.5,3217.6,1217.25,28630222,36002621429,482467,12,Reliance
12-12-2024,Thursday,December,Q4,2024,EQ,1270,1278.2,1260.6,1278.2,1261.3,1262.9,1265.58,3217.6,1217.25,20906813,26459166489,363205,12,Reliance
11-12-2024,Wednesday,December,Q4,2024,EQ,1285,1290,1276.05,1284.85,1279,1278.2,1282.33,3217.6,1217.25,11724373,15034457833,272365,12,Reliance
10-12-2024,Tuesday,December,Q4,2024,EQ,1289.25,1294.9,1280.2,1295.15,1285.95,1284.85,1286.46,3217.6,1217.25,16043729,20639594557,456341,12,Reliance
09-12-2024,Monday,December,Q4,2024,EQ,1303,1315,1293.1,1311.55,1296.4,1295.15,1304.1,3217.6,1217.25,14650002,19105110925,202850,12,Reliance
06-12-2024,Friday,December,Q4,2024,EQ,1323.9,1323.9,1310,1322.05,1311.6,1311.55,1314.49,3217.6,1217.25,9037514,11879701934,193736,12,Reliance
05-12-2024,Thursday,December,Q4,2024,EQ,1314.35,1329.95,1306.15,1308.95,1320.9,1322.05,1319.78,3217.6,1217.25,16858723,22249886630,309667,12,Reliance
04-12-2024,Wednesday,December,Q4,2024,EQ,1326,1328.4,1304.05,1323.3,1309.5,1308.95,1310.74,3217.6,1217.25,19608540,25701743569,250873,12,Reliance
03-12-2024,Tuesday,December,Q4,2024,EQ,1317,1326.8,1307,1309.15,1325.05,1323.3,1320.68,3217.6,1217.25,16869482,22279247258,349204,12,Reliance
02-12-2024,Monday,December,Q4,2024,EQ,1288,1311.35,1277.05,1292.2,1310.6,1309.15,1298.6,3217.6,1217.25,11024152,14315972963,272825,12,Reliance
29-11-2024,Friday,November,Q4,2024,EQ,1280,1299.5,1275.25,1270.8,1291.5,1292.2,1290.83,3217.6,1217.25,13202307,17041975592,280529,11,Reliance
28-11-2024,Thursday,November,Q4,2024,EQ,1289.95,1296.6,1269.05,1293.2,1272.75,1270.8,1280.74,3217.6,1217.25,15027412,19246153609,311959,11,Reliance
27-11-2024,Wednesday,November,Q4,2024,EQ,1293.5,1303.85,1286,1295.7,1293.4,1293.2,1293.84,3217.6,1217.25,9572746,12385614506,196614,11,Reliance
26-11-2024,Tuesday,November,Q4,2024,EQ,1294.95,1297.85,1284.2,1287,1295.6,1295.7,1292.03,3217.6,1217.25,9247557,11948133608,218738,11,Reliance
25-11-2024,Monday,November,Q4,2024,EQ,1290,1304.45,1282.45,1265.4,1290.95,1287,1291.52,3217.6,1217.25,28923341,37355089803,390544,11,Reliance
