Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
24-05-2024,EQ,1111,1111,1096,1117.95,1099.05,1098.25,1102.66,1269,760.2,1424791,1571057191,51532,TATA
23-05-2024,EQ,1127.45,1131.2,1104,1120.35,1119.45,1117.95,1116.96,1269,760.2,2087340,2331468490,93238,TATA
22-05-2024,EQ,1100,1122,1093.95,1093.95,1121.4,1120.35,1112.81,1269,760.2,2032291,2261554983,104452,TATA
21-05-2024,EQ,1089,1097.6,1088.95,1095.2,1093,1093.95,1093.7,1269,760.2,906092,990989077.1,60239,TATA
18-05-2024,EQ,1095,1098.25,1090.25,1095.2,1095,1095.2,1094.77,1269,756.45,70507,77188760.3,4162,TATA
17-05-2024,EQ,1093,1101.2,1089.15,1099.75,1096,1095.2,1094.95,1269,756.45,1069069,1170572519,58940,TATA
16-05-2024,EQ,1071,1102.55,1057.85,1068.9,1098.35,1099.75,1077.38,1269,756.45,2665288,2871515110,175300,TATA
15-05-2024,EQ,1086,1090.85,1056,1085.45,1070,1068.9,1075.31,1269,756.45,1920081,2064674054,82521,TATA
14-05-2024,EQ,1096,1098.4,1082.2,1096.95,1086,1085.45,1089,1269,756.45,1194960,1301308287,57857,TATA
13-05-2024,EQ,1086.1,1101,1076.05,1090.95,1096,1096.95,1088.29,1269,756.45,933422,1015834248,63869,TATA
10-05-2024,EQ,1087.95,1093.95,1067.65,1085.05,1089,1090.95,1085.13,1269,756.45,1080599,1172588462,60735,TATA
09-05-2024,EQ,1114,1114.7,1078,1115.05,1083,1085.05,1092.22,1269,756.45,1743688,1904495293,103352,TATA
08-05-2024,EQ,1102.4,1117.85,1095.15,1099.4,1114,1115.05,1111.2,1269,756.45,1071294,1190423300,53237,TATA
07-05-2024,EQ,1095.05,1121.55,1090.1,1098.15,1099,1099.4,1104.86,1269,756.45,2614541,2888707049,112589,TATA
06-05-2024,EQ,1105,1109.65,1090.05,1094.3,1099,1098.15,1100.01,1269,756.45,1076304,1183943734,49994,TATA
03-05-2024,EQ,1095,1114.9,1089.8,1091.15,1095,1094.3,1103.27,1269,756.45,2935813,3239003011,75566,TATA
02-05-2024,EQ,1114,1114,1081.1,1108.35,1092.45,1091.15,1093.32,1269,756.45,3423995,3743533094,166178,TATA
30-04-2024,EQ,1099.9,1114.25,1095.65,1098.5,1107.55,1108.35,1107.77,1269,756.45,2504796,2774749669,74802,TATA
29-04-2024,EQ,1108.9,1110.4,1088.9,1102.65,1100.4,1098.5,1096.61,1269,756.45,2254895,2472749851,95386,TATA
26-04-2024,EQ,1111.8,1111.8,1084.05,1106.25,1100.75,1102.65,1097.62,1269,706,3426210,3760677002,133419,TATA
25-04-2024,EQ,1116,1116,1077.4,1110.15,1104.85,1106.25,1094.89,1269,706,6233672,6825156268,273667,TATA
24-04-2024,EQ,1106,1137.7,1104,1173.35,1109,1110.15,1118.61,1269,706,6447489,7212222673,267351,TATA
23-04-2024,EQ,1173,1179.9,1152,1170.95,1172,1173.35,1167.55,1269,706,1930671,2254154456,80804,TATA
22-04-2024,EQ,1140.95,1177.8,1140.95,1138.1,1175.5,1170.95,1165.73,1269,706,2299311,2680375141,88287,TATA
19-04-2024,EQ,1104.5,1150.6,1104.05,1134.55,1137.35,1138.1,1133.58,1269,696.45,2160942,2449601775,96405,TATA
18-04-2024,EQ,1143,1159,1127.55,1135.65,1140,1134.55,1142.57,1269,696.45,2573549,2940452589,121006,TATA
16-04-2024,EQ,1117,1138.9,1113.95,1130.65,1137,1135.65,1132.97,1269,696.45,1051408,1191209610,51387,TATA
15-04-2024,EQ,1125,1136.7,1111,1149.45,1131,1130.65,1126.58,1269,696.45,1990224,2242143682,98298,TATA
12-04-2024,EQ,1144.35,1156.65,1134.45,1145.3,1144.7,1149.45,1148.23,1269,696.45,2006949,2304442653,72445,TATA
10-04-2024,EQ,1130,1151.5,1118.7,1125.6,1138.3,1145.3,1137.13,1269,696.45,1374918,1563464683,98445,TATA
09-04-2024,EQ,1141,1141,1121.5,1137.35,1125.6,1125.6,1128.11,1269,696.45,1184800,1336586231,44456,TATA
08-04-2024,EQ,1120,1140.45,1117,1115.55,1137.35,1137.35,1134.4,1269,696.45,1833218,2079608697,55113,TATA
05-04-2024,EQ,1116,1124.9,1111,1117.95,1116.25,1115.55,1116.57,1269,696.45,627856,701046346.4,49066,TATA
04-04-2024,EQ,1132.8,1132.9,1108.55,1119.5,1121.2,1117.95,1118.5,1269,696.45,2403608,2688442487,141360,TATA
03-04-2024,EQ,1129,1129,1112.8,1131.15,1120,1119.5,1121.91,1269,696.45,1133287,1271448146,59680,TATA
02-04-2024,EQ,1091.8,1133.4,1085.1,1086.9,1130.95,1131.15,1103.85,1269,696.45,5107047,5637389959,104903,TATA
01-04-2024,EQ,1100,1104.4,1083.1,1096.2,1087.7,1086.9,1091.34,1269,696.45,2229535,2433180085,61607,TATA
28-03-2024,EQ,1103.9,1109,1093.65,1091.05,1100,1096.2,1099.49,1269,690,6721940,7390735636,120939,TATA
27-03-2024,EQ,1115.35,1117,1084.1,1112.55,1098,1091.05,1101.82,1269,690,1962948,2162822715,76368,TATA
26-03-2024,EQ,1105.35,1121.1,1105.35,1122.75,1114,1112.55,1113.8,1269,690,2407110,2681041400,112542,TATA
22-03-2024,EQ,1133.95,1140,1119,1133.95,1123.7,1122.75,1125.02,1269,690,1696377,1908458611,70308,TATA
21-03-2024,EQ,1134,1138.95,1121.5,1124.05,1136,1133.95,1132.27,1269,690,1901034,2152483100,73465,TATA
20-03-2024,EQ,1143.1,1153.4,1111.7,1146.25,1122.45,1124.05,1125.25,1269,690,2070193,2329492196,104758,TATA
19-03-2024,EQ,1184.9,1184.9,1139.85,1186.95,1149.75,1146.25,1152.8,1269,690,2152306,2481188387,109316,TATA
18-03-2024,EQ,1213.05,1217.65,1184.3,1212.15,1188.5,1186.95,1192.65,1269,690,803158,957882939.3,37164,TATA
15-03-2024,EQ,1200,1219.85,1175.9,1198.35,1210,1212.15,1204.69,1269,686.6,2843465,3425508031,62518,TATA
14-03-2024,EQ,1160.05,1205.05,1160.05,1178.95,1202.8,1198.35,1192.08,1269,686.6,2211062,2635759802,98884,TATA
13-03-2024,EQ,1215.5,1217.4,1170.7,1215.2,1179,1178.95,1190.41,1269,686.6,2050756,2441235777,97215,TATA
12-03-2024,EQ,1227.45,1227.85,1209.15,1220.65,1217.75,1215.2,1216.12,1269,686.6,1089396,1324837740,75265,TATA
11-03-2024,EQ,1263,1269,1209,1261.55,1223,1220.65,1224.52,1269,686.6,2609165,3194985469,124557,TATA
07-03-2024,EQ,1228,1268.9,1216.75,1220.05,1265,1261.55,1246.41,1268.9,686.6,3522952,4391033684,131787,TATA
06-03-2024,EQ,1203.8,1223,1192,1200.6,1219.5,1220.05,1209.51,1223,686.6,1367260,1653715433,76186,TATA
05-03-2024,EQ,1206.85,1211.9,1196,1203.25,1200,1200.6,1202.43,1214,686.6,867925,1043622297,53199,TATA
04-03-2024,EQ,1206.95,1214,1190,1207.25,1202.55,1203.25,1201.71,1214,686.6,790960,950503042.5,75562,TATA
02-03-2024,EQ,1209,1213,1200,1201,1207,1207.25,1206.75,1213.65,686.6,149379,180262599.1,9734,TATA
01-03-2024,EQ,1204,1213.65,1194.25,1190.05,1199.3,1201,1204.11,1213.65,686.6,1804771,2173146580,59804,TATA
29-02-2024,EQ,1166.95,1199,1150.6,1167.95,1192,1190.05,1184.86,1205,686.6,2722341,3225602469,95895,TATA
28-02-2024,EQ,1189.75,1205,1163.1,1183.6,1163.1,1167.95,1189.07,1205,686.6,2170054,2580356822,97849,TATA
27-02-2024,EQ,1182,1189.7,1174.95,1177.1,1181,1183.6,1183.28,1190.95,686.6,1584564,1874977287,76748,TATA
26-02-2024,EQ,1159,1182.8,1149.45,1160.3,1178,1177.1,1167.87,1190.95,686.6,1292210,1509129776,64641,TATA
23-02-2024,EQ,1158,1165.6,1155.2,1159.5,1158.6,1160.3,1160.18,1190.95,686.6,1280859,1486029676,64777,TATA
22-02-2024,EQ,1161,1164.75,1142.45,1160.75,1156.7,1159.5,1152.45,1190.95,686.6,1689403,1946948709,99777,TATA
21-02-2024,EQ,1155,1171.9,1150.05,1154.4,1158,1160.75,1160.84,1190.95,686.6,1445959,1678534256,80717,TATA
20-02-2024,EQ,1154.5,1159,1138.8,1155,1153,1154.4,1150.23,1190.95,686.6,1056193,1214867231,58462,TATA
19-02-2024,EQ,1150,1164.25,1144.5,1147.45,1154.5,1155,1155.85,1190.95,686.6,961914,1111826780,42333,TATA
16-02-2024,EQ,1135,1149.4,1132.4,1131.4,1148.95,1147.45,1143.59,1190.95,686.6,1213292,1387505628,48787,TATA
15-02-2024,EQ,1140.05,1146.75,1127.25,1135.6,1134.35,1131.4,1134.79,1190.95,686.6,1278358,1450670682,60290,TATA
14-02-2024,EQ,1135.05,1139.85,1120,1137.8,1139,1135.6,1129.04,1190.95,686.6,1206706,1362415623,49150,TATA
13-02-2024,EQ,1123,1141.3,1118.2,1122.2,1137,1137.8,1131.33,1190.95,686.6,886148,1002527784,54226,TATA
12-02-2024,EQ,1130.05,1134.4,1075,1129.25,1121.9,1122.2,1123.89,1190.95,686.6,898953,1010325741,42725,TATA
09-02-2024,EQ,1142,1149.4,1119.85,1137.9,1128,1129.25,1132.66,1190.95,686.6,917196,1038871730,48645,TATA
08-02-2024,EQ,1160,1162.9,1125,1166.2,1140.95,1137.9,1140.1,1190.95,686.6,2477973,2825126990,136361,TATA
07-02-2024,EQ,1168.05,1175,1153.05,1163.55,1170.7,1166.2,1164.54,1190.95,686.6,864874,1007184238,56908,TATA
06-02-2024,EQ,1142.1,1166.8,1142.1,1150.75,1160.55,1163.55,1158.74,1190.95,686.6,1219085,1412599356,57085,TATA
